file,duration,sss
nlx-54d39220-a72d-11ea-9c5f-5fb704133341.wav,9.7524375,4
nlx-c6c6d6d0-a110-11ea-8784-2352adf0139f.wav,6.7279375,7
nlx-2148e080-a512-11ea-8784-2352adf0139f.wav,7.97925,4
nlx-676ab100-a491-11ea-8784-2352adf0139f.wav,0.2505,7
nlx-c73962a0-a7fe-11ea-a9bd-05f6eec0ad7f.wav,0.256,6
nlx-5be149f0-a286-11ea-aef0-294d006d652e.wav,20.736,6
nlx-9a918370-a8eb-11ea-aef0-294d006d652e.wav,1.3165625,4
nlx-5c757e80-a124-11ea-bcc0-954f47b73b1e.wav,0.566625,5
nlx-0a878ab0-a452-11ea-aef0-294d006d652e.wav,0.6516875,2
nlx-6fb97150-a27c-11ea-bcc0-954f47b73b1e.wav,6.229375,1
nlx-fc606cd0-a11e-11ea-9c5f-5fb704133341.wav,0.4668125,7
nlx-4e74f0d0-a125-11ea-aef0-294d006d652e.wav,2.2186875,3
nlx-5c3942c0-a8cd-11ea-aef0-294d006d652e.wav,1.1946875,6
nlx-df6edd40-a1ec-11ea-8784-2352adf0139f.wav,1.7066875,3
nlx-edf54d50-a8fd-11ea-8784-2352adf0139f.wav,9.8986875,2
nlx-25330840-a27b-11ea-a9bd-05f6eec0ad7f.wav,3.023125,4
nlx-c9c4cf50-a457-11ea-aef0-294d006d652e.wav,1.28,4
nlx-3349d160-a8ee-11ea-aef0-294d006d652e.wav,0.8925625,6
nlx-05406530-a4df-11ea-9c5f-5fb704133341.wav,11.2450625,7
nlx-5d429280-a124-11ea-ad75-47afc39b88d6.wav,0.5888125,5
nlx-fecf7720-a1c5-11ea-ad75-47afc39b88d6.wav,29.8666875,7
nlx-0f33d5c0-a112-11ea-9c5f-5fb704133341.wav,1.486125,2
nlx-e99c7570-a516-11ea-8784-2352adf0139f.wav,1.109375,5
nlx-a8c9d720-a5c2-11ea-a9bd-05f6eec0ad7f.wav,1.1946875,6
nlx-ab1a8cb0-a287-11ea-ad75-47afc39b88d6.wav,7.826625,6
nlx-b5dcf6c0-a10f-11ea-aef0-294d006d652e.wav,8.916,3
nlx-c9072800-a6f1-11ea-9c5f-5fb704133341.wav,1.877375,4
nlx-bf8865b0-a10f-11ea-bcc0-954f47b73b1e.wav,3.48225,7
nlx-5f525680-a162-11ea-a9bd-05f6eec0ad7f.wav,8.99825,2
nlx-2cbb2ec0-a28b-11ea-8784-2352adf0139f.wav,0.39925,4
nlx-5630dd90-a740-11ea-ad75-47afc39b88d6.wav,9.8986875,5
nlx-9edfaeb0-a608-11ea-8784-2352adf0139f.wav,49.745375,6
nlx-29ccfce0-a135-11ea-8784-2352adf0139f.wav,1.109375,1
nlx-389d4930-a5bf-11ea-8784-2352adf0139f.wav,9.8453125,1
nlx-c9b6fbc0-a70c-11ea-9c5f-5fb704133341.wav,2.2729375,3
nlx-7b3acb20-a842-11ea-aef0-294d006d652e.wav,1.792,4
nlx-7f71eae0-a14c-11ea-8784-2352adf0139f.wav,7.9876875,4
nlx-19d78f70-a749-11ea-9c5f-5fb704133341.wav,2.304,5
nlx-338cb130-a595-11ea-ad75-47afc39b88d6.wav,0.6399375,7
nlx-e2bbb130-a674-11ea-8784-2352adf0139f.wav,8.6186875,7
